/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_500.png,291,203,317,225,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_501.png,291,203,317,225,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_502.png,294,200,318,222,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_503.png,294,198,330,225,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_504.png,294,198,330,225,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_505.png,294,198,327,225,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_506.png,294,194,324,224,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_506.png,163,220,194,247,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_507.png,294,194,324,224,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_507.png,165,214,190,242,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_508.png,294,195,324,222,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_508.png,165,215,190,242,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_509.png,294,194,326,222,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_509.png,165,216,191,242,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_510.png,294,194,326,222,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_510.png,165,216,191,242,tumor
/notebooks/VOLUME/LNDb/LNDb_png_space0_-1300_300/LNDb-0001-ZOOM/LNDb-0001-ZOOM_frame_511.png,164,215,191,242,tumor
